2theta,intensity
24.23318069,59
24.25344578,53
24.27371087,61
24.29397596,58
24.31424105,68
24.33450613,65
24.35477122,63
24.37503631,77
24.3953014,63
24.41556649,63
24.43583158,61
24.45609667,81
24.47636176,75
24.49662684,72
24.51689193,66
24.53715702,83
24.55742211,95
24.5776872,122
24.59795229,129
24.61821738,151
24.63848247,174
24.65874755,166
24.67901264,168
24.69927773,149
24.71954282,134
24.73980791,143
24.760073,109
24.78033809,81
24.80060317,60
24.82086826,95
24.84113335,90
24.86139844,89
24.88166353,88
24.90192862,94
24.92219371,97
24.9424588,101
24.96272388,81
24.98298897,111
25.00325406,128
25.02351915,154
25.04378424,153
25.06404933,209
25.08431442,259
25.10457951,272
25.12484459,272
25.14510968,273
25.16537477,212
25.18563986,203
25.20590495,151
25.22617004,162
25.24643513,145
25.26670022,153
25.2869653,149
25.30723039,138
25.32749548,165
25.34776057,186
25.36802566,206
25.38829075,244
25.40855584,277
25.42882092,342
25.44908601,462
25.4693511,556
25.48961619,729
25.50988128,966
25.53014637,1107
25.55041146,1271
25.57067655,1410
25.59094163,1302
25.61120672,1156
25.63147181,1017
25.6517369,928
25.67200199,679
25.69226708,618
25.71253217,535
25.73279726,457
25.75306234,382
25.77332743,390
25.79359252,362
25.81385761,318
25.8341227,301
25.85438779,312
25.87465288,269
25.89491796,268
25.91518305,263
25.93544814,250
25.95571323,238
25.97597832,224
25.99624341,244
26.0165085,192
26.03677359,203
26.05703867,183
26.07730376,202
26.09756885,199
26.11783394,213
26.13809903,186
26.15836412,214
26.17862921,198
26.1988943,190
26.21915938,217
26.23942447,200
26.25968956,204
26.27995465,230
26.30021974,245
26.32048483,287
26.34074992,248
26.361015,286
26.38128009,289
26.40154518,276
26.42181027,234
26.44207536,249
26.46234045,231
26.48260554,211
26.50287063,196
26.52313571,226
26.5434008,208
26.56366589,194
26.58393098,216
26.60419607,226
26.62446116,223
26.64472625,197
26.66499134,250
26.68525642,219
26.70552151,244
26.7257866,222
26.74605169,294
26.76631678,296
26.78658187,292
26.80684696,279
26.82711204,283
26.84737713,369
26.86764222,359
26.88790731,386
26.9081724,381
26.92843749,466
26.94870258,469
26.96896767,499
26.98923275,521
27.00949784,548
27.02976293,527
27.05002802,545
27.07029311,500
27.0905582,490
27.11082329,408
27.13108838,365
27.15135346,358
27.17161855,278
27.19188364,290
27.21214873,239
27.23241382,237
27.25267891,226
27.272944,207
27.29320909,172
27.31347417,153
27.33373926,174
27.35400435,174
27.37426944,162
27.39453453,173
27.41479962,151
27.43506471,123
27.45532979,153
27.47559488,136
27.49585997,130
27.51612506,140
27.53639015,139
27.55665524,100
27.57692033,118
27.59718542,118
27.6174505,128
27.63771559,128
27.65798068,133
27.67824577,117
27.69851086,93
27.71877595,119
27.73904104,102
27.75930613,112
27.77957121,109
27.7998363,110
27.82010139,88
27.84036648,91
27.86063157,107
27.88089666,92
27.90116175,80
27.92142683,75
27.94169192,96
27.96195701,81
27.9822221,93
28.00248719,79
28.02275228,71
28.04301737,88
28.06328246,69
28.08354754,92
28.10381263,86
28.12407772,71
28.14434281,53
28.1646079,75
28.18487299,59
28.20513808,77
28.22540317,95
28.24566825,76
28.26593334,83
28.28619843,78
28.30646352,72
28.32672861,93
28.3469937,76
28.36725879,76
28.38752387,79
28.40778896,81
28.42805405,64
28.44831914,79
28.46858423,90
28.48884932,68
28.50911441,75
28.5293795,67
28.54964458,65
28.56990967,70
28.59017476,76
28.61043985,75
28.63070494,85
28.65097003,81
28.67123512,71
28.69150021,58
28.71176529,78
28.73203038,67
28.75229547,74
28.77256056,71
28.79282565,57
28.81309074,65
28.83335583,70
28.85362091,66
28.873886,75
28.89415109,66
28.91441618,82
28.93468127,72
28.95494636,74
28.97521145,58
28.99547654,70
29.01574162,62
29.03600671,62
29.0562718,59
29.07653689,67
29.09680198,58
29.11706707,69
29.13733216,59
29.15759725,66
29.17786233,68
29.19812742,66
29.21839251,58
29.2386576,55
29.25892269,60
29.27918778,68
29.29945287,75
29.31971796,78
29.33998304,67
29.36024813,57
29.38051322,75
29.40077831,85
29.4210434,80
29.44130849,112
29.46157358,64
29.48183866,90
29.50210375,96
29.52236884,97
29.54263393,99
29.56289902,102
29.58316411,101
29.6034292,89
29.62369429,68
29.64395937,88
29.66422446,84
29.68448955,65
29.70475464,78
29.72501973,79
29.74528482,86
29.76554991,81
29.785815,103
29.80608008,95
29.82634517,91
29.84661026,100
29.86687535,90
29.88714044,105
29.90740553,90
29.92767062,86
29.9479357,93
29.96820079,105
29.98846588,117
30.00873097,95
30.02899606,95
30.04926115,112
30.06952624,120
30.08979133,124
30.11005641,136
30.1303215,159
30.15058659,194
