2theta,Intensity 
54.732139,115
54.752404,110
54.772669,98
54.792934,86
54.8132,89
54.833465,64
54.85373,85
54.873995,79
54.89426,83
54.914525,74
54.93479,96
54.955055,71
54.97532,61
54.995585,77
55.01585,86
55.036116,78
55.056381,73
55.076646,71
55.096911,59
55.117176,57
55.137441,69
55.157706,52
55.177971,57
55.198236,53
55.218501,45
55.238766,61
55.259031,60
55.279297,46
55.299562,56
55.319827,62
55.340092,65
55.360357,62
55.380622,71
55.400887,67
55.421152,50
55.441417,47
55.461682,46
55.481947,59
55.502213,53
55.522478,61
55.542743,61
55.563008,58
55.583273,57
55.603538,55
55.623803,53
55.644068,58
55.664333,48
55.684598,64
55.704863,55
55.725129,49
55.745394,56
55.765659,51
55.785924,47
55.806189,56
55.826454,66
55.846719,59
55.866984,56
55.887249,61
55.907514,63
55.927779,64
55.948045,54
55.96831,73
55.988575,60
56.00884,45
56.029105,67
56.04937,54
56.069635,60
56.0899,62
56.110165,58
56.13043,65
56.150695,70
56.17096,66
56.191226,59
56.211491,67
56.231756,70
56.252021,73
56.272286,79
56.292551,78
56.312816,77
56.333081,62
56.353346,65
56.373611,57
56.393876,65
56.414142,58
56.434407,57
56.454672,56
56.474937,56
56.495202,59
56.515467,65
56.535732,56
56.555997,53
56.576262,58
56.596527,67
56.616792,52
56.637058,44
56.657323,53
56.677588,48
56.697853,58
56.718118,60
56.738383,43
56.758648,52
56.778913,38
56.799178,60
56.819443,44
56.839708,52
56.859973,53
56.880239,43
56.900504,44
56.920769,52
56.941034,51
56.961299,54
56.981564,44
57.001829,56
57.022094,50
57.042359,57
57.062624,53
57.082889,63
57.103155,63
57.12342,76
57.143685,73
57.16395,69
57.184215,81
57.20448,71
57.224745,70
57.24501,81
57.265275,94
57.28554,83
57.305805,78
57.326071,88
57.346336,120
57.366601,101
57.386866,118
57.407131,122
57.427396,134
57.447661,118
57.467926,148
57.488191,161
57.508456,168
57.528721,198
57.548987,219
57.569252,262
57.589517,229
57.609782,314
57.630047,307
57.650312,339
57.670577,376
57.690842,352
57.711107,338
57.731372,355
57.751637,345
57.771902,323
